ProximityToWaterBody,Elevation,Rainfall,Vegetation,Urbanization,Soil,Drainage,Slope,StormFrequency,Wetlands,Deforestation,Season,Infrastructure,Encroachment,FloodRisk
Moderately Close to Lagoon,103,148,Sparse,Medium,Loamy,Good,Steep,Occasional,Absent,Moderate,Rainy,Weak,None,Low
Very Far from Lake,145,686,Moderate,Low,Clay,Moderate,Moderate,Occasional,Present,Moderate,Dry,Moderate,Severe,Low
Very Far from Stream,219,108,Sparse,Medium,Sandy,Moderate,Flat,Frequent,Present,Moderate,Transition,Weak,None,Low
Very Far from Stream,155,168,Moderate,Low,Loamy,Good,Steep,Occasional,Absent,Severe,Transition,Moderate,Moderate,None
Far from Stream,77,468,Sparse,High,Sandy,Poor,Steep,Occasional,Absent,Moderate,Dry,Strong,Moderate,Medium
Close to Dam,68,407,Moderate,Low,Loamy,Poor,Moderate,Frequent,Present,None,Dry,Weak,None,Low
Very Close to Dam,142,118,Sparse,High,Rocky,Poor,Steep,Rare,Present,Moderate,Transition,Moderate,None,Low
Close to River,131,554,None,High,Loamy,Poor,Steep,Occasional,Present,None,Transition,Weak,Moderate,Medium
Close to Dam,162,204,Sparse,Low,Loamy,Good,Moderate,Occasional,Present,Severe,Transition,Weak,Severe,Low
Moderately Close to Stream,37,928,Sparse,Medium,Loamy,Good,Steep,Frequent,Absent,Severe,Rainy,Weak,Moderate,High
Close to Stream,193,529,Moderate,Low,Loamy,Good,Flat,Occasional,Present,None,Transition,Strong,None,None
Moderately Close to Dam,21,381,Dense,Medium,Sandy,Good,Moderate,Rare,Present,None,Dry,Strong,Severe,Low
Far from Lake,223,279,Moderate,High,Sandy,Good,Moderate,Frequent,Absent,Severe,Rainy,Weak,Moderate,Medium
Far from Stream,156,403,None,Medium,Clay,Moderate,Moderate,Occasional,Absent,None,Rainy,Weak,Severe,Medium
Far from Stream,203,802,Moderate,Medium,Loamy,Poor,Flat,Occasional,Absent,Severe,Rainy,Moderate,Moderate,Medium
Close to Dam,98,446,None,High,Rocky,Poor,Flat,Occasional,Present,Severe,Dry,Strong,Severe,High
Close to Lagoon,152,260,Moderate,High,Sandy,Moderate,Moderate,Rare,Present,Moderate,Rainy,Strong,None,Low
Close to Lagoon,293,556,Dense,High,Rocky,Poor,Steep,Frequent,Absent,Severe,Dry,Moderate,Severe,Medium
Moderately Close to Dam,122,116,Sparse,Medium,Rocky,Poor,Moderate,Rare,Present,Moderate,Dry,Weak,None,Medium
Moderately Close to Lake,216,564,Dense,High,Clay,Moderate,Steep,Frequent,Absent,Moderate,Rainy,Weak,Severe,Medium
Very Close to Lake,202,690,Sparse,Medium,Rocky,Poor,Moderate,Rare,Absent,Moderate,Dry,Strong,Moderate,Medium
Far from River,293,330,Moderate,Medium,Loamy,Moderate,Flat,Rare,Present,Severe,Rainy,Moderate,Severe,Low
Very Close to River,182,159,Sparse,High,Clay,Moderate,Flat,Occasional,Absent,None,Rainy,Strong,Moderate,Medium
Far from River,52,23,None,High,Loamy,Moderate,Steep,Frequent,Present,Severe,Rainy,Strong,None,Medium
Moderately Close to Lake,201,718,Moderate,Low,Rocky,Good,Flat,Frequent,Absent,Severe,Rainy,Strong,Severe,Medium
Moderately Close to Lake,136,96,Moderate,High,Loamy,Moderate,Flat,Occasional,Present,None,Transition,Strong,None,Low
Very Far from Lagoon,27,852,Moderate,Medium,Loamy,Poor,Moderate,Frequent,Absent,None,Transition,Strong,None,Medium
Moderately Close to Lake,47,548,Dense,Medium,Clay,Poor,Steep,Rare,Absent,Moderate,Transition,Strong,Moderate,Medium
Moderately Close to Lake,167,713,Dense,High,Clay,Poor,Flat,Rare,Absent,Severe,Rainy,Strong,None,Medium
Close to Stream,195,832,None,Medium,Loamy,Good,Moderate,Frequent,Present,Moderate,Rainy,Strong,Severe,Medium
Very Far from Lagoon,186,508,Moderate,Medium,Loamy,Poor,Steep,Frequent,Present,Severe,Dry,Moderate,Severe,Low
Close to Dam,293,391,Moderate,Medium,Loamy,Good,Flat,Occasional,Absent,None,Rainy,Strong,Severe,Low
Very Close to River,224,317,Sparse,High,Rocky,Moderate,Flat,Rare,Absent,Moderate,Transition,Weak,Severe,Medium
Moderately Close to Lake,27,822,Sparse,High,Clay,Good,Steep,Rare,Present,None,Transition,Moderate,None,Low
Close to Stream,179,625,None,Medium,Loamy,Good,Flat,Occasional,Absent,None,Dry,Weak,Moderate,Medium
Far from Dam,93,603,Sparse,Low,Sandy,Poor,Steep,Frequent,Present,None,Transition,Strong,Severe,Low
Moderately Close to River,224,84,Moderate,High,Clay,Good,Flat,Frequent,Present,None,Dry,Moderate,None,Low
Moderately Close to Stream,154,290,None,Low,Clay,Good,Moderate,Rare,Present,None,Transition,Weak,None,Low
Very Far from Lagoon,215,931,Dense,Low,Sandy,Moderate,Steep,Occasional,Absent,None,Rainy,Moderate,Moderate,Low
Very Far from River,9,654,Dense,Low,Loamy,Moderate,Moderate,Occasional,Present,None,Dry,Strong,None,Low
Very Close to River,118,810,Sparse,Low,Clay,Poor,Steep,Occasional,Present,Severe,Transition,Weak,None,Medium
Very Far from River,271,632,Moderate,High,Rocky,Good,Flat,Frequent,Present,Moderate,Transition,Strong,None,Low
Far from River,169,859,Dense,High,Rocky,Good,Flat,Occasional,Present,None,Transition,Moderate,Severe,Low
Moderately Close to River,246,44,Sparse,Medium,Sandy,Good,Flat,Frequent,Present,Moderate,Dry,Weak,Moderate,Medium
Close to Lake,114,963,Sparse,Medium,Loamy,Poor,Moderate,Rare,Present,Severe,Rainy,Weak,Severe,High
Far from River,66,943,Dense,High,Clay,Moderate,Flat,Occasional,Present,Severe,Transition,Weak,None,Medium
Moderately Close to Dam,79,605,Moderate,High,Sandy,Poor,Moderate,Frequent,Present,None,Rainy,Strong,Severe,Medium
Far from River,107,782,None,High,Loamy,Moderate,Steep,Rare,Absent,None,Transition,Strong,Moderate,Low
Very Close to Lake,263,46,Dense,Medium,Clay,Good,Steep,Frequent,Absent,Severe,Dry,Weak,Severe,Low
Far from River,71,597,Dense,High,Rocky,Poor,Moderate,Rare,Absent,Severe,Transition,Moderate,None,Medium
Far from Dam,137,489,Moderate,Low,Rocky,Moderate,Flat,Rare,Present,Moderate,Dry,Weak,Severe,Low
Very Far from Lake,148,113,None,High,Sandy,Poor,Moderate,Rare,Present,Severe,Rainy,Strong,Moderate,Medium
Very Close to Lake,103,924,Dense,Medium,Rocky,Good,Moderate,Occasional,Present,Moderate,Rainy,Strong,Moderate,Medium
Far from Dam,207,138,None,Low,Loamy,Moderate,Steep,Rare,Present,Moderate,Transition,Moderate,Moderate,Low
Close to River,200,742,Sparse,High,Clay,Good,Steep,Rare,Present,Moderate,Transition,Moderate,None,Low
Close to Dam,244,846,Dense,Low,Rocky,Moderate,Flat,Frequent,Absent,None,Transition,Weak,Moderate,Medium
Moderately Close to River,23,851,None,Medium,Sandy,Moderate,Moderate,Rare,Present,Moderate,Dry,Moderate,Moderate,Medium
Close to Dam,245,450,None,Low,Sandy,Moderate,Steep,Occasional,Absent,Moderate,Dry,Moderate,Severe,Low
Close to Dam,65,39,None,High,Rocky,Good,Moderate,Rare,Absent,None,Rainy,Strong,None,Low
Far from River,73,802,None,Medium,Clay,Good,Flat,Occasional,Absent,None,Transition,Weak,None,Medium
Moderately Close to Lagoon,116,330,None,Medium,Clay,Moderate,Steep,Rare,Present,Severe,Transition,Strong,Severe,Medium
Far from Lake,261,639,Dense,Medium,Clay,Poor,Flat,Occasional,Absent,Severe,Dry,Weak,None,Medium
Close to Stream,212,915,Moderate,High,Loamy,Good,Steep,Frequent,Absent,Severe,Rainy,Strong,Moderate,Medium
Far from Lagoon,190,135,Sparse,High,Sandy,Good,Flat,Rare,Absent,None,Dry,Strong,None,Low
Very Close to Dam,190,721,Moderate,Medium,Loamy,Poor,Moderate,Frequent,Present,None,Rainy,Moderate,Severe,Medium
Close to Stream,176,471,None,High,Loamy,Poor,Flat,Rare,Absent,None,Dry,Weak,Severe,Medium
Close to Stream,15,196,None,Medium,Sandy,Poor,Moderate,Frequent,Present,None,Dry,Moderate,None,Medium
Far from Lagoon,197,962,None,High,Clay,Moderate,Steep,Occasional,Present,Moderate,Transition,Strong,Severe,Low
Moderately Close to Stream,130,993,Moderate,Low,Loamy,Poor,Moderate,Frequent,Absent,None,Rainy,Strong,Severe,Medium
Very Close to Stream,295,496,Sparse,Medium,Clay,Moderate,Steep,Frequent,Absent,Severe,Transition,Weak,Moderate,Medium
Moderately Close to River,162,998,Moderate,Low,Sandy,Moderate,Steep,Frequent,Present,Severe,Dry,Strong,None,Low
Very Far from Dam,230,358,Sparse,Low,Loamy,Poor,Moderate,Frequent,Absent,None,Transition,Strong,Moderate,Low
Very Close to Stream,271,298,None,High,Rocky,Good,Moderate,Rare,Present,Moderate,Rainy,Weak,None,Medium
Close to Lagoon,49,773,None,Low,Loamy,Good,Flat,Frequent,Present,Severe,Dry,Strong,None,Medium
Very Far from River,37,791,Sparse,High,Rocky,Poor,Flat,Rare,Absent,None,Dry,Moderate,Severe,Medium
Very Close to Dam,291,707,None,High,Loamy,Moderate,Flat,Occasional,Present,Moderate,Transition,Strong,Severe,Medium
Close to Stream,156,989,Dense,High,Clay,Poor,Steep,Rare,Absent,Moderate,Dry,Moderate,None,Low
Close to Lake,298,155,Moderate,High,Loamy,Poor,Steep,Frequent,Present,Moderate,Transition,Moderate,None,Low
Moderately Close to Lake,181,330,Sparse,High,Rocky,Good,Flat,Rare,Absent,None,Rainy,Weak,Severe,Medium
Far from Lake,277,83,None,High,Loamy,Good,Flat,Frequent,Absent,Severe,Dry,Strong,None,Low
Moderately Close to Lake,7,373,Dense,Low,Sandy,Good,Moderate,Frequent,Absent,None,Transition,Moderate,None,Low
Moderately Close to Dam,175,22,Dense,Medium,Loamy,Moderate,Flat,Rare,Absent,None,Transition,Weak,Severe,Low
Far from Lagoon,67,505,None,Medium,Sandy,Good,Moderate,Occasional,Absent,Severe,Rainy,Moderate,Severe,Medium
Very Far from River,83,130,None,Low,Clay,Moderate,Moderate,Rare,Absent,Moderate,Rainy,Strong,Severe,Medium
Very Close to Dam,129,783,Moderate,Medium,Rocky,Poor,Moderate,Occasional,Absent,Moderate,Transition,Strong,None,Medium
Very Close to Lake,140,500,Moderate,Low,Rocky,Moderate,Steep,Rare,Absent,Moderate,Dry,Weak,Severe,Medium
Very Far from Stream,220,851,None,Medium,Loamy,Good,Moderate,Frequent,Present,None,Rainy,Weak,Severe,Medium
Very Far from Lake,241,450,Sparse,Low,Rocky,Good,Flat,Frequent,Absent,None,Rainy,Strong,Moderate,Low
Far from Lagoon,94,283,None,Low,Rocky,Good,Moderate,Occasional,Present,Moderate,Dry,Strong,Moderate,Low
Close to Lake,39,149,Moderate,Low,Sandy,Poor,Steep,Occasional,Absent,Severe,Transition,Moderate,None,Low
Moderately Close to Lake,265,956,Moderate,High,Loamy,Moderate,Flat,Rare,Present,None,Dry,Weak,None,Low
Close to Stream,152,517,Sparse,High,Loamy,Good,Moderate,Rare,Absent,None,Rainy,Weak,Moderate,Medium
Close to Dam,126,821,None,Low,Loamy,Moderate,Flat,Rare,Present,Severe,Transition,Weak,Severe,Medium
Close to River,264,828,Moderate,Medium,Clay,Moderate,Steep,Frequent,Present,None,Transition,Weak,Moderate,Low
Far from Dam,199,934,None,Low,Rocky,Good,Flat,Frequent,Present,Severe,Dry,Moderate,Moderate,Low
Far from Lagoon,5,569,None,Medium,Clay,Poor,Steep,Occasional,Present,Severe,Rainy,Moderate,None,Medium
Very Far from Lagoon,196,662,Sparse,High,Loamy,Good,Steep,Rare,Present,Moderate,Dry,Strong,None,Low
Moderately Close to Stream,55,982,Dense,Medium,Clay,Moderate,Steep,Occasional,Present,Severe,Transition,Weak,None,Medium
Very Close to Dam,127,504,Moderate,High,Sandy,Poor,Moderate,Occasional,Present,Severe,Rainy,Strong,Moderate,Medium
Far from Dam,17,788,None,Low,Rocky,Moderate,Flat,Rare,Absent,None,Dry,Moderate,None,Low
Very Close to Lagoon,178,39,Moderate,High,Rocky,Poor,Steep,Frequent,Present,Moderate,Dry,Moderate,Moderate,Low
Very Close to Stream,275,128,Sparse,Low,Rocky,Poor,Steep,Rare,Present,None,Dry,Moderate,Moderate,Low
Very Close to Lagoon,76,142,Moderate,Low,Sandy,Good,Flat,Frequent,Present,Moderate,Transition,Strong,Moderate,Low
Very Far from Dam,270,581,Sparse,High,Rocky,Good,Flat,Rare,Present,None,Dry,Moderate,Moderate,Low
Very Far from Stream,62,977,Sparse,Low,Loamy,Good,Moderate,Rare,Absent,None,Transition,Strong,Severe,Low
Far from Stream,39,67,Moderate,Low,Loamy,Moderate,Flat,Rare,Present,None,Dry,Moderate,None,Low
Very Far from Lagoon,289,705,None,Low,Loamy,Moderate,Moderate,Rare,Absent,None,Rainy,Strong,None,Low
Close to River,76,944,Dense,Low,Sandy,Good,Steep,Frequent,Absent,Moderate,Dry,Strong,Moderate,Low
Very Close to River,261,117,Sparse,High,Clay,Poor,Flat,Rare,Present,None,Dry,Weak,Severe,Medium
Moderately Close to Lagoon,131,25,Moderate,High,Sandy,Poor,Moderate,Occasional,Present,Moderate,Transition,Strong,None,Low
Close to Dam,76,145,None,Low,Sandy,Moderate,Steep,Occasional,Present,Moderate,Transition,Moderate,Severe,Low
Very Close to Stream,102,831,Moderate,High,Sandy,Moderate,Moderate,Rare,Present,Moderate,Dry,Strong,None,Medium
Moderately Close to Lake,62,948,None,High,Loamy,Good,Moderate,Rare,Absent,Moderate,Rainy,Strong,None,Medium
Close to Stream,152,390,None,Medium,Rocky,Moderate,Steep,Rare,Absent,Severe,Rainy,Moderate,None,Low
Very Close to Lake,124,680,Dense,Medium,Loamy,Moderate,Moderate,Occasional,Absent,Moderate,Rainy,Weak,Severe,Medium
Moderately Close to Stream,141,940,Moderate,Low,Rocky,Moderate,Flat,Rare,Absent,None,Rainy,Weak,Severe,Medium
Very Far from Lagoon,297,155,Dense,Low,Loamy,Good,Flat,Frequent,Present,None,Rainy,Weak,Moderate,Low
Far from Lagoon,221,740,Dense,High,Sandy,Poor,Flat,Frequent,Present,None,Dry,Weak,Severe,Medium
Very Far from Lagoon,70,590,Dense,Low,Rocky,Moderate,Steep,Frequent,Absent,Severe,Dry,Weak,Moderate,Low
Far from Dam,253,525,None,Low,Clay,Moderate,Moderate,Occasional,Absent,None,Transition,Weak,Moderate,Low
Far from Lake,157,760,None,Low,Rocky,Poor,Steep,Rare,Absent,None,Transition,Weak,None,Low
Close to River,205,937,Moderate,High,Sandy,Poor,Moderate,Frequent,Absent,Moderate,Rainy,Strong,Severe,Medium
Moderately Close to Lagoon,259,767,None,Medium,Loamy,Poor,Steep,Occasional,Present,Moderate,Dry,Weak,None,Medium
Far from River,69,259,None,Low,Sandy,Good,Flat,Frequent,Absent,Severe,Rainy,Moderate,None,Medium
Close to Dam,19,885,None,Low,Sandy,Good,Moderate,Occasional,Absent,Severe,Dry,Weak,Moderate,Medium
Close to River,284,456,Dense,Medium,Sandy,Poor,Moderate,Frequent,Absent,Severe,Rainy,Strong,Moderate,Medium
Very Close to River,41,130,Sparse,Low,Loamy,Good,Moderate,Rare,Present,Moderate,Rainy,Weak,Severe,Medium
Very Far from Lake,203,694,None,High,Clay,Moderate,Moderate,Rare,Present,None,Dry,Strong,Severe,Low
Far from Stream,236,461,Moderate,Low,Loamy,Good,Moderate,Rare,Present,None,Dry,Strong,Severe,None
Very Far from Dam,107,956,Moderate,Low,Loamy,Good,Steep,Rare,Present,Severe,Rainy,Strong,Severe,Low
Moderately Close to Lake,97,231,Moderate,Low,Clay,Poor,Flat,Rare,Present,Moderate,Rainy,Strong,None,Low
Far from Lake,173,424,None,High,Sandy,Moderate,Steep,Rare,Present,Severe,Rainy,Moderate,Severe,Medium
Close to Dam,9,425,Dense,Low,Clay,Poor,Steep,Frequent,Absent,Severe,Rainy,Weak,None,Medium
Very Far from Lagoon,130,911,Moderate,Low,Sandy,Good,Flat,Frequent,Present,Severe,Transition,Weak,None,Low
Very Far from Lake,72,781,None,Medium,Rocky,Moderate,Moderate,Frequent,Present,Moderate,Rainy,Weak,None,Medium
Far from River,65,992,Moderate,High,Loamy,Good,Steep,Occasional,Absent,Moderate,Rainy,Weak,None,Low
Very Far from Lagoon,191,994,Moderate,Low,Rocky,Good,Steep,Rare,Present,Moderate,Rainy,Moderate,Moderate,Low
Close to Stream,3,930,Moderate,High,Rocky,Poor,Steep,Rare,Present,Moderate,Rainy,Moderate,None,Medium
Moderately Close to Lake,144,539,Moderate,High,Sandy,Moderate,Flat,Occasional,Present,None,Dry,Moderate,Moderate,Low
Close to Stream,57,438,None,Low,Loamy,Poor,Moderate,Occasional,Present,None,Transition,Weak,Severe,Medium
Very Close to River,144,945,None,Medium,Clay,Poor,Steep,Occasional,Present,None,Transition,Moderate,None,Medium
Moderately Close to Dam,274,741,Dense,Medium,Loamy,Poor,Flat,Occasional,Present,Moderate,Dry,Weak,Severe,Medium
Close to River,255,243,Sparse,Low,Sandy,Poor,Steep,Frequent,Absent,Moderate,Dry,Moderate,Moderate,Low
Close to River,140,166,Dense,High,Loamy,Moderate,Moderate,Rare,Absent,Moderate,Dry,Strong,Moderate,Low
Close to River,191,342,Moderate,Low,Clay,Poor,Flat,Occasional,Absent,Moderate,Transition,Strong,Severe,Low
Moderately Close to River,110,724,Dense,Medium,Sandy,Moderate,Moderate,Rare,Absent,Moderate,Dry,Strong,Severe,Medium
Close to Lake,200,464,None,Low,Sandy,Good,Flat,Frequent,Present,None,Rainy,Weak,None,Medium
Close to Stream,190,701,Sparse,Low,Sandy,Poor,Steep,Frequent,Absent,Severe,Dry,Strong,Moderate,Medium
Moderately Close to Stream,138,83,Moderate,Low,Sandy,Moderate,Flat,Frequent,Present,None,Rainy,Moderate,None,Low
Far from Dam,50,312,None,Low,Sandy,Good,Moderate,Rare,Absent,Moderate,Dry,Moderate,Severe,Low
Close to Lake,252,344,Moderate,Low,Clay,Moderate,Steep,Occasional,Absent,Severe,Rainy,Strong,Severe,Low
Far from Lagoon,192,152,None,Low,Rocky,Moderate,Steep,Occasional,Present,Moderate,Dry,Weak,None,Low
Very Far from River,15,67,None,High,Rocky,Good,Steep,Occasional,Present,Moderate,Transition,Moderate,None,Low
Far from Stream,230,61,Sparse,High,Rocky,Poor,Moderate,Occasional,Present,Severe,Dry,Weak,Moderate,Medium
Moderately Close to Lagoon,231,293,Dense,High,Clay,Good,Steep,Occasional,Present,None,Rainy,Strong,None,None
Close to Stream,71,780,None,Medium,Rocky,Moderate,Flat,Rare,Absent,Severe,Transition,Weak,Moderate,High
Very Far from Lake,166,54,Moderate,Medium,Sandy,Moderate,Steep,Rare,Absent,Severe,Rainy,Weak,Severe,Low
Close to Lake,114,308,Dense,Low,Rocky,Poor,Steep,Occasional,Present,Moderate,Rainy,Strong,Severe,Low
Close to River,88,103,Moderate,High,Rocky,Poor,Steep,Occasional,Present,Severe,Rainy,Moderate,Moderate,Medium
Far from Lagoon,215,156,None,High,Clay,Poor,Flat,Rare,Absent,Severe,Rainy,Moderate,Severe,Medium
Very Close to River,7,309,Moderate,Low,Rocky,Good,Steep,Occasional,Absent,Moderate,Dry,Weak,Moderate,Low
Very Close to River,258,206,None,High,Sandy,Moderate,Moderate,Occasional,Absent,Severe,Rainy,Moderate,None,Medium
Very Far from Lagoon,211,210,None,Medium,Rocky,Moderate,Moderate,Occasional,Absent,None,Rainy,Moderate,Moderate,Low
Very Close to Dam,76,679,Moderate,High,Rocky,Good,Steep,Frequent,Present,Moderate,Transition,Strong,Severe,Medium
Very Far from Lagoon,290,998,Dense,Medium,Rocky,Moderate,Flat,Rare,Absent,Moderate,Dry,Moderate,Moderate,Low
Far from River,141,390,Moderate,Low,Rocky,Good,Flat,Occasional,Absent,Severe,Transition,Moderate,Moderate,Low
Moderately Close to Lake,190,97,None,Medium,Rocky,Moderate,Steep,Rare,Absent,Moderate,Dry,Moderate,Severe,Low
Moderately Close to River,33,402,None,Medium,Clay,Good,Moderate,Occasional,Absent,None,Transition,Strong,Severe,Medium
Very Close to Dam,150,442,None,High,Loamy,Good,Moderate,Rare,Present,None,Dry,Weak,Moderate,Medium
Moderately Close to River,65,884,None,High,Clay,Good,Steep,Rare,Present,None,Transition,Moderate,Severe,Low
Very Far from River,220,148,Dense,Low,Clay,Moderate,Flat,Frequent,Present,Severe,Rainy,Weak,Severe,Medium
Close to Dam,187,94,None,High,Rocky,Good,Moderate,Occasional,Present,Moderate,Rainy,Moderate,None,Low
Very Close to Lake,105,99,Sparse,Low,Loamy,Poor,Steep,Occasional,Absent,None,Rainy,Weak,Severe,Medium
Very Close to Stream,47,749,Moderate,Medium,Loamy,Good,Flat,Occasional,Absent,Moderate,Transition,Strong,None,Medium
Very Close to Stream,222,979,Sparse,Low,Rocky,Moderate,Moderate,Frequent,Present,Moderate,Dry,Moderate,Moderate,Medium
Far from River,19,391,Dense,High,Loamy,Moderate,Steep,Rare,Present,Severe,Rainy,Moderate,Moderate,Low
Moderately Close to Lake,144,510,Dense,Medium,Clay,Good,Moderate,Frequent,Present,Severe,Rainy,Strong,Severe,Medium
Far from Dam,84,692,None,Medium,Clay,Poor,Steep,Occasional,Present,Severe,Dry,Strong,Severe,Medium
Far from Dam,68,76,None,High,Loamy,Good,Moderate,Rare,Absent,None,Dry,Moderate,Moderate,Low
Moderately Close to Dam,67,266,None,Medium,Clay,Moderate,Moderate,Occasional,Absent,Moderate,Dry,Weak,None,Medium
Far from Lake,275,550,None,Low,Clay,Good,Flat,Rare,Present,None,Transition,Weak,Moderate,Low
Very Close to River,19,960,Dense,Low,Rocky,Moderate,Moderate,Frequent,Present,Moderate,Dry,Strong,Moderate,Medium
Very Far from Lagoon,101,990,Sparse,Medium,Loamy,Moderate,Steep,Frequent,Present,None,Rainy,Strong,None,Low
Very Far from River,288,389,None,Medium,Rocky,Moderate,Steep,Occasional,Absent,Severe,Rainy,Weak,Moderate,Medium
Far from Dam,298,622,None,Medium,Rocky,Moderate,Moderate,Rare,Absent,Moderate,Rainy,Strong,Moderate,Medium
Very Close to Lake,99,596,Sparse,High,Loamy,Moderate,Flat,Occasional,Absent,None,Rainy,Moderate,None,Medium
Moderately Close to River,192,891,Moderate,High,Clay,Moderate,Flat,Rare,Absent,Severe,Rainy,Weak,Severe,High
Very Close to Stream,180,717,Moderate,Low,Sandy,Moderate,Flat,Occasional,Absent,None,Dry,Weak,None,Low
Close to Stream,185,928,Sparse,Low,Loamy,Poor,Moderate,Rare,Present,Moderate,Transition,Moderate,Severe,Medium
Very Far from River,38,164,Moderate,Low,Sandy,Moderate,Moderate,Frequent,Present,Moderate,Dry,Weak,Moderate,Low
Moderately Close to Stream,222,434,None,Low,Clay,Moderate,Steep,Rare,Absent,Moderate,Transition,Strong,Moderate,Low
Close to Dam,273,880,Sparse,Low,Sandy,Good,Moderate,Frequent,Absent,Severe,Rainy,Weak,Severe,Medium
Moderately Close to River,173,389,Moderate,Low,Rocky,Good,Steep,Frequent,Present,Moderate,Transition,Weak,Moderate,Low
